,spam,msg_length,msg
0,0,111,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1,0,29,ok lar joking wif u oni
2,1,155,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply
3,0,49,u dun say early hor u c already say
4,0,61,nah think go usf life around though
5,1,147,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
6,0,77,even brother like speak treat like aid patent
7,0,160,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
8,1,157,winner valued network customer selected receivea prize reward claim call claim code kl valid hour
9,1,154,mobile month u r entitled update latest colour mobile camera free call mobile update co free
10,0,109,gon na home soon want talk stuff anymore tonight k cried enough today
11,1,136,six chance win cash pound txt csh send cost p day day tsandcs apply reply hl info
12,1,155,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
13,0,196,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
14,0,35,date sunday
15,1,149,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
16,0,26,oh k watching
17,0,81,eh u remember spell name yes v naughty make v wet
18,0,56,fine way u feel way gota b
19,1,155,england v macedonia dont miss goal team news txt ur national team eg england try wale scotland txt poboxox w wq
20,0,41,seriously spell name
21,0,47,going try month ha ha joking
22,0,52,pay first lar da stock comin
23,0,88,aft finish lunch go str lor ard smth lor u finish ur lunch already
24,0,57,ffffffffff alright way meet sooner
25,0,144,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol
26,0,30,lol always convincing
27,0,134,catch bus frying egg make tea eating mom left dinner feel love
28,0,75,back amp packing car let know room
29,0,64,ahhh work vaguely remember feel like lol
30,0,130,wait still clear sure sarcastic x want live u
31,0,189,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheer
32,0,29,k tell anything
33,0,84,fear fainting housework quick cuppa
34,1,158,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
35,0,122,yup ok go home look timing msg xuhui going learn nd may lesson
36,0,47,oops let know roommate done
37,0,28,see letter b car
38,0,27,anything lor u decide
39,0,155,hello saturday go texting see decided anything tomo trying invite anything
40,0,82,pls go ahead watt wanted sure great weekend abiola
41,0,142,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,1,172,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
43,0,19,seeing
44,0,72,great hope like man well endowed lt gt inch
45,0,32,call message missed call
46,0,45,get hep b immunisation nigeria
47,0,31,fair enough anything going
48,0,67,yeah hopefully tyler could maybe ask around bit
49,0,148,u know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker
50,0,58,thinked first time saw class
51,0,124,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt
52,0,80,k fyi x ride early tomorrow morning crashing place tonight
53,0,289,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
54,1,120,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
55,0,76,know mallika sherawat yesterday find lt url gt
56,1,161,congrats year special cinema pas call c suprman v matrix starwars etc free bx ip pm dont miss
57,0,34,sorry call later meeting
58,0,22,tell reached
59,0,40,yes gauti sehwag odi series
60,0,108,gon na pick burger way home even move pain killing
61,0,48,ha ha ha good joke girl situation seeker
62,0,25,part checking iq
63,0,56,sorry roommate took forever ok come
64,0,110,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
65,1,152,valued customer pleased advise following recent review mob awarded bonus prize call
66,0,122,today song dedicated day song u dedicate send ur valuable frnds first rply
67,1,159,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt l aj
68,1,78,hear new divorce barbie come ken stuff
69,0,34,plane give month end
70,0,46,wah lucky man save money hee
71,0,29,finished class
72,0,45,hi babe im home wan na something xx
73,0,42,k k performed
74,0,20,u call
75,0,43,waiting machan call free
76,0,73,thats cool gentleman treat dignity respect
77,0,50,like people much shy pa
78,0,42,operate lt gt
79,0,76,still looking job much ta earn
80,0,22,sorry call later
81,0,32,k call ah
82,0,32,ok way home hi hi
83,0,36,place man
84,0,14,yup next stop
85,0,55,call later network urgnt sm
86,0,121,real u getting yo need ticket one jacket done already used multis
87,0,144,yes started send request make pain came back back bed double coin factory got ta cash nitros
88,0,42,really still tonight babe
89,0,41,ela kano il download come wen ur free
90,0,58,yeah stand close tho catch something
91,0,195,sorry pain ok meet another night spent late afternoon casualty mean done stuff moro includes time sheet sorry
92,0,141,smile pleasure smile pain smile trouble pours like rain smile sum hurt u smile becoz someone still love see u smiling
93,1,137,please call customer service representative pm guaranteed cash prize
94,0,107,havent planning buy later check already lido got show e afternoon u finish work already
95,1,158,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw
96,0,33,watching telugu movie wat abt u
97,0,51,see finish load loan pay
98,0,178,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
99,0,31,see cup coffee animation
100,0,57,please text anymore nothing else say
101,0,81,okay name ur price long legal wen pick u ave x am xx
102,0,76,still looking car buy gone driving test yet
103,0,160,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
104,0,183,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
105,0,44,umma life vava umma love lot dear
106,0,95,thanks lot wish birthday thanks making birthday truly memorable
107,0,43,aight hit get cash
108,0,82,would ip address test considering computer minecraft server
109,0,115,know grumpy old people mom like better lying always one play joke
110,0,30,dont worry guess busy
111,0,40,plural noun research
112,0,31,going dinner msg
113,0,96,ok wif co like try new thing scared u dun like mah co u said loud
114,1,158,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm
115,0,143,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
116,0,156,entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went
